node_id,community_id,d_local,d_comm,s_raw,s,is_suspicious
file_/home/admin/docs/doc_010.txt,4,0.0066548022,0.001663701,0.008318503,0.27456164,False
file_/home/admin/docs/doc_011.txt,7,0.005454834,0.0013637074,0.0068185413,0.20729244,False
file_/home/admin/docs/doc_023.txt,5,0.0019249863,0.0004812467,0.002406233,0.009412444,False
file_/home/admin/docs/doc_030.txt,0,0.004323385,0.0010808464,0.0054042316,0.1438645,False
file_/var/log/app_032.log,6,0.0017570843,0.00043927087,0.0021963553,0.0,False
file_/var/log/app_060.log,1,0.004323385,0.0010808464,0.0054042316,0.1438645,False
ip_10.0.0.37,2,0.013013259,0.0032533132,0.016266571,0.63101083,True
proc_app_002,0,0.004323385,0.0010808462,0.005404231,0.14386448,False
proc_app_040,1,0.004323385,0.0010808462,0.005404231,0.14386448,False
proc_app_056,2,0.013013259,0.0032533158,0.016266575,0.631011,True
proc_app_065,3,0.019595396,0.0048988503,0.024494246,0.9999996,True
proc_sys_009,3,0.019595396,0.004898848,0.024494244,0.9999995,True
proc_sys_013,4,0.0066548022,0.0016637001,0.008318502,0.2745616,False
proc_sys_025,5,0.0019249863,0.00048124648,0.0024062328,0.009412433,False
proc_sys_032,6,0.0017570843,0.00043927136,0.0021963557,2.0883638e-08,False
proc_sys_039,7,0.005454834,0.0013637097,0.0068185437,0.20729254,False
