node_id,community_id,d_local,d_comm,s_raw,s,is_suspicious
file_/etc/cron.d/sys-sync,7,0.0019249863,0.0004812467,0.002406233,1.4313288e-09,False
file_/home/admin/docs/doc_008.txt,4,0.004323385,0.0010808464,0.0054042316,0.01843023,False
file_/tmp/cache_001.dat,0,0.10690272,0.041316886,0.1482196,0.8963892,True
file_/tmp/cache_006.dat,3,0.005454834,0.0013637074,0.0068185413,0.027124712,False
file_/var/log/app_010.log,0,0.10891416,0.042682935,0.1515971,0.9171524,True
file_/var/log/app_021.log,1,0.0059619267,0.0014904803,0.007452407,0.031021409,False
file_/var/log/app_026.log,9,0.0019249863,0.0004812467,0.002406233,1.4313288e-09,False
file_/var/log/app_031.log,2,0.0059619267,0.0014904803,0.007452407,0.031021409,False
file_/var/log/app_054.log,11,0.0043233866,0.0010808464,0.005404233,0.018430239,False
file_/var/log/app_058.log,6,0.004323385,0.0010808464,0.0054042316,0.01843023,False
ip_10.0.0.36,10,0.007117333,0.0017793335,0.008896667,0.03990001,False
ip_192.168.1.2,8,0.007117332,0.0017793331,0.008896665,0.039899997,False
proc_app_002,1,0.0059619267,0.0014904832,0.0074524097,0.031021426,False
proc_app_005,2,0.0059619267,0.0014904832,0.0074524097,0.031021426,False
proc_app_010,0,0.0693233,0.0957504,0.1650737,0.9999999,True
proc_app_024,3,0.005454834,0.0013637097,0.0068185437,0.027124729,False
proc_app_032,4,0.004323385,0.0010808462,0.005404231,0.018430227,False
proc_app_037,5,0.019595396,0.004898848,0.024494244,0.1357863,False
proc_app_062,0,0.037471987,0.021077994,0.05854998,0.3451443,False
proc_app_065,5,0.019595396,0.0048988503,0.024494246,0.1357863,False
proc_app_066,6,0.004323385,0.0010808462,0.005404231,0.018430227,False
proc_syncsvc,7,0.0019249863,0.00048124648,0.0024062328,0.0,False
proc_sys_009,8,0.007117332,0.001779333,0.008896665,0.039899997,False
proc_sys_012,9,0.0019249863,0.00048124648,0.0024062328,0.0,False
proc_sys_018,10,0.007117333,0.001779333,0.008896666,0.039900005,False
proc_sys_039,11,0.0043233866,0.0010808469,0.0054042335,0.018430242,False
