node_id,community_id,d_local,d_comm,s_raw,s,is_suspicious
file_/home/admin/docs/doc_013.txt,1,0.0066548022,0.001663701,0.008318503,0.27456164,False
file_/home/admin/docs/doc_038.txt,2,0.004323385,0.0010808464,0.0054042316,0.1438645,False
file_/var/log/app_005.log,0,0.005825694,0.0024476117,0.008273305,0.27253464,False
file_/var/log/app_020.log,4,0.0017570843,0.00043927087,0.0021963553,0.0,False
file_/var/log/app_026.log,0,0.0035995021,0.0017055466,0.005305049,0.13941644,False
ip_192.168.1.12,7,0.015332484,0.003833121,0.019165605,0.7610246,True
ip_192.168.1.18,3,0.013013259,0.0032533132,0.016266571,0.63101083,True
proc_app_005,1,0.0066548022,0.0016637001,0.008318502,0.2745616,False
proc_app_015,5,0.019595396,0.0048988503,0.024494246,0.9999996,True
proc_app_022,6,0.010091718,0.002522931,0.012614649,0.46723208,True
proc_app_023,2,0.004323385,0.0010808462,0.005404231,0.14386448,False
proc_app_024,3,0.013013259,0.0032533158,0.016266575,0.631011,True
proc_app_031,4,0.0017570843,0.00043927136,0.0021963557,2.0883638e-08,False
proc_app_051,5,0.019595396,0.004898848,0.024494244,0.9999995,True
proc_app_055,6,0.010091718,0.0025229282,0.012614647,0.467232,True
proc_app_073,0,0.0029655215,0.0013180105,0.004283532,0.093604185,False
proc_sys_008,7,0.015332484,0.0038331207,0.019165605,0.7610246,True
