node_id,community_id,d_local,d_comm,s_raw,s,is_suspicious
domain_service02.internal,3,0.007117332,0.0017793331,0.008896665,0.025594942,False
domain_service15.internal,0,0.01085144,0.07605974,0.08691118,0.33324426,False
file_/home/admin/docs/doc_014.txt,6,0.005454834,0.0013637074,0.0068185413,0.017399887,False
file_/home/admin/docs/doc_024.txt,5,0.0019249863,0.0004812467,0.002406233,9.1816493e-10,False
file_/var/log/app_008.log,0,0.004936159,0.05017863,0.055114787,0.20785557,False
file_/var/log/app_036.log,0,0.012873643,0.013111148,0.02598479,0.09298177,False
file_/var/log/app_050.log,1,0.081641935,0.059818055,0.14145999,0.54835683,True
ip_10.0.0.19,2,0.015332484,0.003833121,0.019165605,0.06609039,False
ip_192.168.1.6,0,0.008383093,0.12120551,0.1295886,0.50154215,True
proc_app_013,2,0.015332484,0.0038331207,0.019165605,0.06609039,False
proc_app_021,1,0.1533386,0.10265024,0.25598884,1.0,True
proc_app_031,0,0.010848668,0.07985459,0.090703264,0.34819832,False
proc_app_042,7,0.019595396,0.004898848,0.024494244,0.087103814,False
proc_app_043,4,0.018648198,0.004662051,0.023310248,0.08243474,False
proc_app_054,0,0.0049271085,0.0414362,0.04636331,0.17334422,False
proc_app_062,3,0.007117332,0.001779333,0.008896665,0.025594942,False
proc_app_073,4,0.018648198,0.004662048,0.023310246,0.082434736,False
proc_sys_006,5,0.0019249863,0.00048124648,0.0024062328,0.0,False
proc_sys_007,1,0.028331205,0.015936302,0.044267505,0.16507944,False
proc_sys_013,6,0.005454834,0.0013637097,0.0068185437,0.017399898,False
proc_sys_033,7,0.019595396,0.0048988503,0.024494246,0.08710382,False
proc_sys_039,1,0.07879194,0.07162267,0.15041462,0.5836693,True
